batch_size,beat_mask_ms,chunk_count,chunk_seconds,crossfade_seconds,dropout,join_method,model_choice,n_mask_codebooks,num_feedback_steps,num_outputs,onset_mask_width,periodic_p,pitch_shift_amt,preset,run_id,run_number,sample_cutoff,sampletemp,sampling_steps,status,stretch_factor,sweep_label,sweep_param,sweep_value,top_p,typical_filtering,typical_mass,typical_min_tokens
2,0,1,,,0.0,direct,sax-new,3,1,2,0,7,0,,031_top_p_high80_0p8_d871723c81ed,31,1.0,1.0,36,ok,1,high80,top_p,0.8,0.8,True,0.15,64
2,0,1,,,0.0,direct,sax-new,3,1,2,0,7,0,,032_typical_filtering_false_false_42ee4f4f7ee9,32,1.0,1.0,36,ok,1,false,typical_filtering,False,0.0,False,0.15,64
2,0,1,,,0.0,direct,sax-new,3,1,2,0,7,0,,033_typical_filtering_true_true_28a995ff41ce,33,1.0,1.0,36,ok,1,true,typical_filtering,True,0.0,True,0.15,64
2,0,1,,,0.0,direct,sax-new,3,1,2,0,7,0,,034_typical_mass_low20_0p21_29bb466bfc97,34,1.0,1.0,36,ok,1,low20,typical_mass,0.21,0.0,True,0.21,64
2,0,1,,,0.0,direct,sax-new,3,1,2,0,7,0,,035_typical_mass_mid50_0p5_6b1069647de6,35,1.0,1.0,36,ok,1,mid50,typical_mass,0.5,0.0,True,0.5,64
2,0,1,,,0.0,direct,sax-new,3,1,2,0,7,0,,036_typical_mass_high80_0p79_a580bc713d2b,36,1.0,1.0,36,ok,1,high80,typical_mass,0.79,0.0,True,0.79,64
2,0,1,,,0.0,direct,sax-new,3,1,2,0,7,0,,037_typical_min_tokens_low20_52_24bf6c46b883,37,1.0,1.0,36,ok,1,low20,typical_min_tokens,52,0.0,True,0.15,52
2,0,1,,,0.0,direct,sax-new,3,1,2,0,7,0,,038_typical_min_tokens_mid50_129_6415db591e15,38,1.0,1.0,36,ok,1,mid50,typical_min_tokens,129,0.0,True,0.15,129
2,0,1,,,0.0,direct,sax-new,3,1,2,0,7,0,,039_typical_min_tokens_high80_205_91582c7b687c,39,1.0,1.0,36,ok,1,high80,typical_min_tokens,205,0.0,True,0.15,205
2,0,1,,,0.0,direct,sax-new,3,1,2,0,7,0,,040_sample_cutoff_low20_0p18_43a81cc99ea5,40,0.18,1.0,36,ok,1,low20,sample_cutoff,0.18,0.0,True,0.15,64
2,0,1,,,0.0,direct,sax-new,3,1,2,0,7,0,,041_sample_cutoff_mid50_0p45_9e5a53ebd80c,41,0.45,1.0,36,ok,1,mid50,sample_cutoff,0.45,0.0,True,0.15,64
2,0,1,,,0.0,direct,sax-new,3,1,2,0,7,0,,042_sample_cutoff_high80_0p72_9e011f9d6b14,42,0.72,1.0,36,ok,1,high80,sample_cutoff,0.72,0.0,True,0.15,64
2,0,1,,,0.0,direct,sax-new,3,1,2,0,7,0,,043_sampling_steps_low20_26_5d6135227f4d,43,1.0,1.0,26,ok,1,low20,sampling_steps,26,0.0,True,0.15,64
2,0,1,,,0.0,direct,sax-new,3,1,2,0,7,0,,044_sampling_steps_mid50_65_da4f121a290b,44,1.0,1.0,65,ok,1,mid50,sampling_steps,65,0.0,True,0.15,64
2,0,1,,,0.0,direct,sax-new,3,1,2,0,7,0,,045_sampling_steps_high80_103_7713192ec232,45,1.0,1.0,103,ok,1,high80,sampling_steps,103,0.0,True,0.15,64
